ts,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,FL_x,FL_y,FL_z,FR_x,FR_y,FR_z,BL_x,BL_y,BL_z,BR_x,BR_y,BR_z,FL_contact,FR_contact,BL_contact,BR_contact,gt_pos_x,gt_pos_y,gt_pos_z,gt_rot_w,gt_rot_x,gt_rot_y,gt_rot_z,state_est_rot_w,state_est_rot_x,state_est_rot_y,state_est_rot_z,state_est_pos_x,state_est_pos_y,state_est_pos_z
1747821628.4456,-2.00753808,2.622848034,5.804741859,-0.309991926,-0.226901293,-0.061785329,0.231824164,0.161797398,-0.326084809,0.138142182,-0.162780285,-0.310142651,-0.228390575,0.165416104,-0.308168823,-0.132085606,-0.168040118,-0.318017554,1,0,0,1,4962.351074219,71.266265869,301.888153076,0.337572545,0.00788279,-0.012735193,0.941180348,-0.11007896,0.000940485,-0.003495537,0.993916254,-1.687700097,0.175632889,0.229868723
1747821628.45363,-0.10175357,-3.246537447,4.022258759,0.100134842,-0.167246491,0.038349517,0.227198987,0.162203239,-0.326705793,0.139985193,-0.164269552,-0.307855734,-0.22607635,0.166419683,-0.305771379,-0.136528835,-0.168402819,-0.318454312,1,0,0,1,4959.034179688,73.8384552,302.662628174,0.337761313,0.008336957,-0.014038768,0.941090167,-0.109999581,0.001944729,-0.004261711,0.993920594,-1.691979176,0.174084326,0.230206923
1747821628.46334,-0.525527298,0.517147541,7.144298077,0.126766458,-0.183225468,0.167246491,0.221901876,0.162237895,-0.327325782,0.144754578,-0.165475365,-0.305242798,-0.221239427,0.168242457,-0.302323131,-0.14107654,-0.169406369,-0.318466829,1,0,0,1,4955.732910156,76.449760437,303.13067627,0.337547213,0.009142915,-0.014352186,0.941154778,-0.110227252,0.002442497,-0.003983478,0.993895427,-1.694268167,0.173489615,0.230329788
1747821628.47006,-0.695515573,-1.082179189,4.479551315,0.112918019,-0.204530746,0.183225468,0.219426246,0.162253112,-0.327542599,0.148494531,-0.166178973,-0.303146931,-0.217686386,0.169091585,-0.299764463,-0.144163854,-0.169998849,-0.31845589,1,0,0,1,4952.420898438,78.977622986,303.378570557,0.33704263,0.00999289,-0.013800942,0.941335201,-0.110938139,0.003310506,-0.003326709,0.993816232,-1.698110521,0.172497466,0.230347193
1747821628.47888,0.401028782,1.698686123,8.000225067,-0.218379185,-0.105461165,0.269511878,0.215711204,0.162300049,-0.327831309,0.1545401,-0.166853884,-0.299843019,-0.211821739,0.170471377,-0.295626984,-0.147189818,-0.170244742,-0.318642811,1,0,0,1,4949.232910156,81.564872742,303.286254883,0.336252898,0.010863192,-0.014037265,0.941604435,-0.111814823,0.004033786,-0.003327766,0.993715301,-1.701165868,0.171952166,0.230493819
1747821628.48679,-0.383072257,2.026691675,8.749609947,-0.338754058,-0.031957928,0.243945524,0.209159443,0.162655883,-0.3278326,0.163606503,-0.167790581,-0.296316052,-0.201118478,0.171389323,-0.290071079,-0.152592504,-0.169938605,-0.319168747,1,0,0,1,4945.941894531,84.058525085,303.021118164,0.33509621,0.011332814,-0.014795776,0.941999555,-0.112825623,0.004436377,-0.00430306,0.993595582,-1.705517962,0.170731053,0.230468077
1747821628.49596,0.141257897,1.540668845,9.461885452,-0.291882426,0.001065264,0.184290722,0.204719465,0.162958916,-0.327471712,0.174364534,-0.167914335,-0.29214529,-0.190690221,0.172119598,-0.284944477,-0.156927439,-0.169626459,-0.3194658,1,0,0,1,4942.6640625,86.501914978,302.632843018,0.334217131,0.011007411,-0.015998248,0.942296028,-0.113823234,0.00472518,-0.005775324,0.993472994,-1.710371715,0.16903453,0.230237793
1747821628.50366,0.257376671,0.328005642,12.041637421,-0.185355991,0.083090618,0.145941213,0.200706395,0.163220574,-0.327160861,0.185706705,-0.167777135,-0.28818427,-0.179149553,0.172360486,-0.28010303,-0.160823641,-0.169182879,-0.319767623,1,0,0,1,4939.324707031,88.853179932,302.318023682,0.333553225,0.010527184,-0.017190229,0.942515731,-0.114551854,0.004623423,-0.006959262,0.993382135,-1.714283338,0.167674237,0.230111833
1747821628.51264,-0.057460841,0.658405483,11.587936401,-0.095873788,0.158724383,0.095873788,0.197834078,0.163568443,-0.326821751,0.196280983,-0.167078593,-0.285375406,-0.168879083,0.171780965,-0.276360977,-0.163779395,-0.168818517,-0.319987309,1,0,0,1,4935.993652344,91.264953613,302.040130615,0.332628042,0.009990145,-0.017824097,0.942836702,-0.115052197,0.004095623,-0.007640796,0.993321618,-1.717931587,0.166737746,0.230098594
1747821628.52075,-0.165199921,-0.604535937,12.235568047,0.068176918,0.18109493,0.064981125,0.194258374,0.163701091,-0.326461198,0.213526239,-0.165396469,-0.280572797,-0.153364786,0.170470092,-0.272627532,-0.167904478,-0.168497226,-0.320109322,1,0,0,1,4932.609375,93.545974731,301.912567139,0.332360864,0.009207604,-0.017894009,0.942937553,-0.115391996,0.003348422,-0.007744825,0.993284196,-1.721859088,0.165861034,0.229978673
